Latitude;Longitude;Elevation (metres);Distance (KMs);sin_A
-12.44177;130.84125;24.6;2.896;0.0090909
-12.44168;130.8412;24.7;2.907;0.0071429
-12.44145;130.84109;24.9;2.935;0.0096774
-12.4412;130.84097;25.2;2.966;0.0076923
-12.44109;130.84093;25.3;2.979;0.015
-12.44092;130.84088;25.6;2.999;0.015385
-12.4408;130.84086;25.8;3.012;0.010526
-12.44063;130.84085;26;3.031;0.015
-12.44045;130.84085;26.3;3.051;0.0095238
-12.44027;130.84087;26.5;3.072;0.015385
-12.44015;130.84089;26.7;3.085;0.016667
-12.43999;130.84092;27;3.103;-0.022917
-12.43957;130.84099;25.9;3.151;-0.022807
-12.43906;130.841065;24.6;3.208;0.0017544
-12.43855;130.84114;24.7;3.265;0.0375
-12.43841;130.84116;25.3;3.281;0.035484
-12.43813;130.8412;26.4;3.312;0.025
-12.43806;130.84121;26.6;3.32;0.036364
-12.43797;130.84123;27;3.331;0.028571
-12.43791;130.84126;27.2;3.338;0.0125
-12.43784;130.84128;27.3;3.346;0
-12.43777;130.84132;27.3;3.355;0.014286
-12.43771;130.84135;27.4;3.362;0
-12.43766;130.84139;27.4;3.37;0
-12.43761;130.84143;27.4;3.377;0.0041667
-12.43745;130.84158;27.5;3.401;0.0040541
-12.437043;130.842123;27.8;3.475;0
-12.436637;130.842667;27.8;3.55;-0.010811
-12.43623;130.84321;27;3.624;-0.025
-12.43619;130.84327;26.8;3.632;-0.0125
-12.43606;130.84345;26.5;3.656;-0.013793
-12.4359;130.84366;26.1;3.685;0
-12.43588;130.84368;26.1;3.688;-0.004
-12.43575;130.84386;26;3.713;0
-12.43561;130.84406;26;3.739;0.0052632
-12.43552;130.84421;26.1;3.758;0.0039216
-12.43529;130.844615;26.3;3.809;-0.0039216
-12.43506;130.84502;26.1;3.86;0.0022727
-12.43466;130.84571;26.3;3.948;-0.0075472
-12.434415;130.846135;25.9;4.001;-0.0055556
-12.43417;130.84656;25.6;4.055;0.0064516
-12.43403;130.84681;25.8;4.086;0.02
-12.43388;130.84709;26.5;4.121;0.021053
-12.4338;130.84725;26.9;4.14;0.0066667
-12.43374;130.84737;27;4.155;0
-12.43373;130.84739;27;4.158;-0.0015873
-12.4335;130.84792;26.9;4.221;-0.02
-12.43348;130.84797;26.8;4.226;0
-12.43346;130.84801;26.8;4.231;-0.010526
-12.43338;130.84816;26.6;4.25;-0.016667
-12.43333;130.84826;26.4;4.262;-0.013636
-12.43324;130.84844;26.1;4.284;-0.0055556
-12.43317;130.84859;26;4.302;0
-12.433;130.84898;26;4.349;0
-12.43296;130.84907;26;4.359;0
-12.43291;130.84919;26;4.374;0.011765
-12.43258;130.8499;27;4.459;-0.0023256
-12.43225;130.85061;26.8;4.545;0.0058824
-12.43192;130.85132;27.3;4.63;-0.0081395
-12.43159;130.85203;26.6;4.716;-0.012048
-12.431273;130.852727;25.6;4.799;-0.0047619
-12.430957;130.853423;25.2;4.883;0.022892
